competition_track,canonical_position_code,athlete_name,primary_source_url,secondary_source_url,terms_or_access_type,source_confidence,identity_verified,position_verified,era_verified,audit_status,auditor,notes
masculino,goleiro,Gianluigi Buffon,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,goleiro,Iker Casillas,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,goleiro,Manuel Neuer,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,goleiro,Oliver Kahn,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,public_or_registered,0.82,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,goleiro,Alisson Becker,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,public_or_registered,0.82,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,lateral_direito,Cafu,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_direito,Dani Alves,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_direito,Philipp Lahm,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_direito,Javier Zanetti,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.82,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_direito,Maicon,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.78,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_esquerdo,Roberto Carlos,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_esquerdo,Marcelo,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,public_or_registered,0.84,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_esquerdo,Ashley Cole,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,public_or_registered,0.80,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_esquerdo,Jordi Alba,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.80,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_esquerdo,Paolo Maldini,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Helena Martins,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,zagueiro,Fabio Cannavaro,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,public_or_registered,0.84,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,zagueiro,Alessandro Nesta,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.82,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,zagueiro,Sergio Ramos,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,zagueiro,Virgil van Dijk,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,public_or_registered,0.82,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,zagueiro,Thiago Silva,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,public_or_registered,0.82,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,volante,Claude Makelele,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.82,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,volante,Sergio Busquets,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.86,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,volante,Casemiro,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.84,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,volante,Patrick Vieira,https://www.fifa.com/en/archive,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,public_or_registered,0.80,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,volante,Gilberto Silva,https://www.fifa.com/en/archive,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,public_or_registered,0.78,pending,pending,pending,in_review_seed_audit,Diego Torres,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,meia_central,Xavi Hernandez,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.88,pending,pending,pending,in_review_seed_audit,Lara Nascimento,seed inicial pendente de auditoria completa; segunda onda criativa masculina em revisao
masculino,meia_central,Andres Iniesta,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.88,pending,pending,pending,in_review_seed_audit,Lara Nascimento,seed inicial pendente de auditoria completa; segunda onda criativa masculina em revisao
masculino,meia_central,Luka Modric,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.88,pending,pending,pending,in_review_seed_audit,Lara Nascimento,seed inicial pendente de auditoria completa; segunda onda criativa masculina em revisao
masculino,meia_central,Andrea Pirlo,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,public_or_registered,0.84,pending,pending,pending,in_review_seed_audit,Lara Nascimento,seed inicial pendente de auditoria completa; segunda onda criativa masculina em revisao
