competition_track,canonical_position_code,athlete_name,country_or_nationality,active_from,active_to,source_primary,source_secondary,source_tier,discovery_status,source_audit_status,fit_score_estimate,notes
masculino,goleiro,Gianluigi Buffon,Italy,1995,2023,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,tier_1_seed,seed_loaded,in_review_seed_audit,94,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,goleiro,Iker Casillas,Spain,1999,2020,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,tier_1_seed,seed_loaded,in_review_seed_audit,93,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,goleiro,Manuel Neuer,Germany,2005,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,tier_2_seed,seed_loaded,in_review_seed_audit,95,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,goleiro,Oliver Kahn,Germany,1994,2008,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,tier_1_seed,seed_loaded,in_review_seed_audit,92,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,goleiro,Alisson Becker,Brazil,2013,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,tier_2_seed,seed_loaded,in_review_seed_audit,89,seed inicial pendente de auditoria completa; primeira onda critica masculina em revisao
masculino,lateral_direito,Cafu,Brazil,1994,2008,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,tier_1_seed,seed_loaded,in_review_seed_audit,95,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_direito,Dani Alves,Brazil,2001,2023,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,tier_1_seed,seed_loaded,in_review_seed_audit,94,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_direito,Philipp Lahm,Germany,2002,2017,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,tier_1_seed,seed_loaded,in_review_seed_audit,94,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_direito,Javier Zanetti,Argentina,1995,2014,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,tier_1_seed,seed_loaded,in_review_seed_audit,92,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_direito,Maicon,Brazil,2001,2021,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,tier_1_seed,seed_loaded,in_review_seed_audit,88,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
masculino,lateral_esquerdo,Roberto Carlos,Brazil,1991,2015,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,tier_1_seed,seed_loaded,in_review_seed_audit,95,seed inicial pendente de auditoria completa; terceira onda masculina de laterais em revisao
